episode,total_reward
132,-23.6964174784
133,-44.9531003147
134,-28.8737392068
135,-28.1051452583
136,-21.4923280412
137,-40.4376225437
138,-19.2439692071
139,-21.7226591582
140,-27.5525568556
141,-22.2452523303
142,-33.9624860892
143,-19.7326630268
144,-24.2272748449
145,-26.2052353736
146,-37.3927603643
147,-25.5240330661
148,-28.8775995947
149,-24.6169693226
150,-25.4348561291
151,-17.2151548451
152,-33.1289432607
153,-30.7736156146
154,-41.8405260465
155,-18.7198786447
156,-28.9286900686
157,-21.1403557272
158,-28.5813634767
159,-23.9701924373
160,-31.5233679931
161,-33.6533245866
162,-33.317040551
163,-42.4512244792
164,-24.1852342556
165,-20.6677286903
166,-20.044545871
167,-38.8030755092
168,-28.713047358
169,-19.377768887
170,-30.5409629033
171,-36.7900002669
172,-36.4415881445
173,-24.3649853399
174,-55.584369478
175,-31.7944835172
176,-24.7478818274
177,-18.5080148556
178,-24.0606190988
179,-56.2288248526
180,-25.4192367354
181,-20.4706922836
182,-34.3712646333
183,-12.3890378184
184,-40.7098885354
185,-45.6438482852
186,-30.0413112994
187,-38.1506611696
188,-18.2481905861
189,-20.1910342694
190,-22.9482461269
191,-29.5674303063
192,-23.2124927674
193,-19.7480242743
194,-32.5992422095
195,-21.2504775185
196,-19.6973336082
197,-23.0355355536
198,-22.1108082527
199,-19.2282955679
200,-42.1168256099
201,-21.455041427
202,-21.2727460814
203,-33.6184239216
204,-16.1065420303
205,-18.925870712
206,-26.9608525748
207,-23.2467851366
208,-22.7501850075
209,-23.1558839376
210,-18.263641972
211,-21.8430018578
212,-30.5975107609
213,-23.4685860128
214,-40.5201299883
215,-28.0173929297
216,-15.7548233967
217,-35.3252220444
218,-20.5530259519
219,-37.0855263515
220,-22.7591226549
221,-45.2017332285
222,-19.9473539778
223,-30.0521905901
224,-28.4197222738
225,-22.9578268255
226,-24.9849175187
227,-22.8528371075
228,-43.6151997768
229,-15.8823849148
230,-37.1766622389
231,-37.4662151475
232,-23.4042656214
233,-27.5081039664
234,-25.5749037371
235,-27.5723051301
236,-13.2223342494
237,-29.5950839057
238,-19.013353701
239,-26.3504012708
240,-27.2445757475
241,-43.3297210145
242,-23.9611395519
243,-39.587820004
244,-31.7265266994
245,-20.6915043926
246,-31.7309431587
247,-20.8850615489
248,-24.4745170709
249,-28.0524408202
250,-20.3848104843
251,-23.7935485381
252,-19.0867845241
253,-12.2996233549
254,-12.743205913
255,-33.3242255884
256,-18.554471489
257,-20.2545732703
258,-20.6619597847
259,-32.4261252481
260,-50.7301622768
261,-28.7543764463
262,-32.5196838741
263,-12.9817328742
264,-30.1198712091
265,-18.0346415263
266,-13.6030894177
267,-30.4349864402
268,-37.5983412074
269,-29.845673083
270,-22.640695847
271,-31.1353307482
272,-37.9771235192
273,-29.9176475715
274,-31.998491367
275,-20.9412653105
276,-49.7392338808
277,-51.757207885
278,-46.2788601212
279,-19.1308225155
280,-29.8795928523
281,-19.1241147373
282,-35.6314395021
283,-35.7844388466
284,-26.504830316
285,-26.8769918305
286,-33.0568088962
287,-34.3537198503
288,-17.1233235036
289,-19.1090569212
290,-21.9655449519
291,-29.6746885238
292,-18.5001155071
293,-24.9761300428
294,-34.4198456003
295,-36.9644839937
296,-18.3864730179
297,-24.9892639995
298,-19.9334162327
299,-15.5320503113
300,-28.3266124809
301,-23.1669152043
302,-34.1255046587
303,-28.2107090598
304,-34.002668945
305,-22.2401407111
306,-32.3299591188
307,-23.392680381
308,-36.2148790742
309,-18.7574789286
310,-20.7044808818
311,-30.2241723899
312,-31.4886887624
313,-29.0057681045
314,-29.015229601
315,-19.3351759628
316,-19.6362520802
317,-24.1147549618
318,-29.1370227919
319,-25.7295251684
320,-42.2569228246
321,-28.5232941395
322,-28.6261227604
323,-44.6035313483
324,-31.8718601028
325,-40.8939615679
326,-44.6891356854
327,-30.9135486717
328,-43.0358179758
329,-34.2296169345
330,-30.9763185469
331,-41.2952443207
