time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,1.11242822578e-07,1.26942766796e-07,10.0074104626,0.000116186704127,6.28297647681,0.0,1.52555787173e-05,1.17402210087e-05,0.246994040934,0.00555269885499,-0.0115545758865,0.0,481.8384642230469,480.9643754893935,480.9626315608708,481.38287944795513
0.12000000000000001,7.84778595599e-06,4.76953944124e-06,10.0266904685,0.000453992987171,6.28277197407,0.0,0.000287696204182,0.00017964589231,0.395632394236,0.00578447546481,0.00927062010418,0.0,451.80853474659267,453.48421558643565,451.64926490279004,451.66785758133267
0.18,3.10605504769e-05,2.53506358604e-05,10.0518331223,0.000644656621636,8.76603662405e-05,0.0,0.000436234868098,0.000532245581713,0.442438720283,-0.00262551658131,0.00644171721393,0.0,420.04622510906796,419.8007544377215,420.15957385828136,419.4298784496155
0.23999999999999996,5.38975939915e-05,7.03879344173e-05,10.0821481791,0.00033540246851,0.000174139291865,0.0,0.000297264275664,0.000944857085758,0.568008572144,-0.0107638561746,-0.01113467174,0.0,445.278639621258,443.8386615142959,446.10128137224024,445.4364351028351
0.3,7.02833722497e-05,0.000131721934841,10.1205292144,6.28264085679,6.28299129067,0.0,0.000303463831036,0.00101845127761,0.711280564456,-0.0239032656776,0.00234718748443,0.0,449.90834600161776,450.9985131838687,451.63009870044044,450.5693272155806
0.36000000000000004,9.17049444273e-05,0.000170815596164,10.172650213,6.28113490894,6.28253858651,0.0,0.000399186463684,8.83595772898e-05,1.02585766949,-0.0276047313859,-0.0514112963049,0.0,502.9018898614202,498.99327533307553,501.044214196375,500.77504826393545
0.4200000000000001,0.000139057866526,0.000130979729641,10.2357179533,6.2795519502,6.27937174802,0.0,0.00147497221891,-0.00156934722406,1.07635299023,-0.0240444516426,-0.0556693382754,0.0,421.8255670670274,421.4557526653357,422.16555335498833,422.47241746249085
0.48000000000000015,0.000320455210878,-4.48423108389e-05,10.3035898874,6.27816685382,6.27570219609,0.0,0.00493025019679,-0.00443711326675,1.18593483195,-0.0212320433886,-0.0753657406393,0.0,441.7455079830166,440.1156502676633,441.16703809924724,441.3991180359814
0.5400000000000001,0.000807603181132,-0.000431252925757,10.3801095649,6.27744714737,6.27137717291,0.0,0.0118082280641,-0.00855035741358,1.36451988622,0.00198604427087,-0.0662200597249,0.0,462.2012802941942,462.9176029670351,461.6661973397619,463.49443086439476
0.6000000000000002,0.00180420506256,-0.00107565552133,10.4673140392,6.277611219,6.26766507072,0.0,0.0218437456851,-0.0129123124799,1.54206767045,0.00419107916292,-0.0543439774645,0.0,462.1631384096628,463.0955136819206,462.6714099944615,462.84491048074494
0.6600000000000003,0.00339561165057,-0.00194651668809,10.5595880282,6.27799497053,6.26411971831,0.0,0.0314939215941,-0.0160888488462,1.53373830032,0.0104763403981,-0.0708433170582,0.0,404.98327504375277,403.49365767494044,402.5391831765009,403.107411790182
0.7200000000000003,0.00567406364863,-0.00301114480985,10.6535369722,6.27819378687,6.25948173149,0.0,0.0448776432946,-0.0193519466243,1.59779672987,-0.0175657447314,-0.0951100665991,0.0,428.4591069509747,426.38585348177196,429.250401732334,426.8642660635143
0.7800000000000004,0.00888116921265,-0.00428011123468,10.7525226189,6.27697074143,6.25385670728,0.0,0.062603057768,-0.0230621187328,1.70155975477,-0.0267182984154,-0.0911628732995,0.0,440.79833594448775,441.1168522319408,440.7814877050378,440.02452360007794
0.8400000000000004,0.0133554270655,-0.00581809700663,10.8606440413,6.27500391486,6.24893999695,0.0,0.0871310461811,-0.0284056505216,1.90215452724,-0.0490619596767,-0.0679933394321,0.0,468.86687724491935,470.65805961168,472.3153228636822,470.5886278531336
0.9000000000000005,0.0193735907597,-0.00771901737741,10.9797011839,6.27246832258,6.24528173637,0.0,0.113892450758,-0.0352581521142,2.06611532976,-0.0312908865042,-0.0497158183742,0.0,459.6882193053899,461.1315761011201,459.591490628054,460.9967820541998
0.9600000000000005,0.0270832655108,-0.0100865652296,11.1087805805,6.27039490522,6.24222849253,0.0,0.143423132358,-0.0438772873406,2.23619609095,-0.0420526844042,-0.0533390895705,0.0,462.7329492743232,462.4461070172536,463.4970585325696,462.6500750445043
1.0200000000000005,0.0366944390892,-0.013039453528,11.2494909426,6.26828090612,6.23912495595,0.0,0.177306479679,-0.0548198270015,2.45368558522,-0.0242410386919,-0.0486806252802,0.0,477.0249453291845,477.3789991304447,477.2821171428603,478.63902155118905
1.0800000000000005,0.0483303363059,-0.0166669695114,11.401404642,6.26743441685,6.23603347849,0.0,0.21087143438,-0.066213003149,2.60974044801,0.000892654387761,-0.0579220652603,0.0,459.3904495161178,458.65545540545764,460.52645920713206,462.51021156440754
1.1400000000000006,0.0618957228595,-0.0209405698305,11.5594461547,6.26763243661,6.2333213855,0.0,0.241586487073,-0.0762261749403,2.65818055595,0.00772675355035,-0.0274866299325,0.0,426.00127504920266,428.59428464559636,426.85691364432483,427.4396551067203
1.2000000000000006,0.0773494005384,-0.0258094623441,11.7203828149,6.26759734263,6.23199872843,0.0,0.273667499669,-0.086038445508,2.70625106601,-0.0276213510905,-0.0129271597253,0.0,427.1913308214039,428.4309453779348,428.45391474427754,425.43806640090526
1.2600000000000007,0.095026203396,-0.031360915111,11.8895725182,6.26559900363,6.23104458282,0.0,0.315632342203,-0.0992173902387,2.93283725914,-0.0482005911104,-0.0226386008126,0.0,482.9425226801518,482.2095854494902,483.0339545834789,481.47912512789196
